9	69
12	1101
15	2846
18	6445
21	10416
24	13896
27	32246
30	58770
33	58336
36	73199
39	69932
42	76414
45	79327
48	86911
51	97206
54	93125
57	96186
60	119678
63	108970
66	112582
69	119758
72	132184
75	128767
78	131061
81	151118
84	163076
87	153030
90	199250
93	166389
96	160319
99	169541
102	197948
105	177713
108	179614
111	194528
114	192310
117	206926
120	211137
123	207796
126	237075
129	238460
132	264071
135	307421
138	380979
141	369719
144	97330
147	12187
150	5097
153	2092
156	957
159	245
162	223
165	172
168	171
171	66
174	62
177	84
180	235
183	46
186	40
189	41
192	39
195	42
198	135
201	8
204	26
207	6
210	15
213	11
216	14
219	16
222	5
225	22
228	7
231	4
234	12
237	7
240	5
243	11
246	16
249	7
252	15
255	4
258	3
261	47
264	2
267	1
270	1
7	192
10	247
13	3273
16	3900
19	7692
22	11111
25	18511
28	48912
31	48409
34	65385
37	68010
40	75057
43	76264
46	84663
49	88763
52	93915
55	97356
58	104937
61	129071
64	120383
67	117398
70	128227
73	129167
76	146434
79	136852
82	148483
85	169103
88	162009
91	152529
94	187051
97	173188
100	192557
103	176845
106	208309
109	175871
112	185158
115	206364
118	195625
121	216890
124	217858
127	237032
130	251655
133	279403
136	352173
139	632676
142	265738
145	46887
148	14293
151	3099
154	1428
157	643
160	722
163	147
166	207
169	122
172	133
175	34
178	630
181	39
184	51
187	48
190	124
193	66
196	20
199	25
202	21
205	15
208	16
211	37
214	6
217	11
220	25
223	20
226	12
229	9
232	7
235	4
238	7
241	7
244	8
247	10
250	9
253	5
256	74
259	7
262	5
265	2
268	7
271	2
8	10939
11	909
14	2115
17	5141
20	8748
23	29290
26	40769
29	41395
32	78119
35	64161
38	70357
41	75258
44	83896
47	89177
50	98495
53	98857
56	96114
59	102507
62	109255
65	145191
68	115689
71	142973
74	176558
77	140629
80	136692
83	147132
86	138426
89	183837
92	170319
95	223051
98	192801
101	161122
104	194709
107	175826
110	199258
113	188616
116	192574
119	222288
122	222512
125	243535
128	225679
131	247663
134	294817
137	348676
140	6411788
143	145738
146	41760
149	9410
152	3588
155	561
158	547
161	453
164	250
167	89
170	185
173	65
176	52
179	37
182	51
185	33
188	50
191	95
194	327
197	24
200	24
203	15
206	15
209	19
212	52
215	19
218	14
221	5
224	11
227	6
230	9
233	5
236	7
239	11
242	12
245	10
248	22
251	2
254	13
257	3
260	9
263	4
266	1
269	17
272	2
